KBP relation,Max values (9 means no limit),Relation terms,Arg2 begins,Entity in,SlotFill in,Slot type,Arg1 terms,Arg2 terms
gpe:residents_of_stateorprovince,9,is,from,arg2,arg1,Person,,
gpe:residents_of_stateorprovince,9,was,from,arg2,arg1,Person,,
gpe:residents_of_stateorprovince,9,being,from,arg2,arg1,Person,,
,,,,,,,,
gpe:residents_of_stateorprovince,9,grow up,in,arg2,arg1,Person,,
gpe:residents_of_stateorprovince,9,growing up,in,arg2,arg1,Person,,
,,,,,,,,
gpe:residents_of_stateorprovince,9,died,at,arg2,arg1,Person,,home
gpe:residents_of_stateorprovince,9,dies,at,arg2,arg1,Person,,home
gpe:residents_of_stateorprovince,9,dying,at,arg2,arg1,Person,,home
,,,,,,,,
gpe:residents_of_stateorprovince,9,live,Stateorprovince,arg2,arg1,Person,,
gpe:residents_of_stateorprovince,9,lives,Stateorprovince,arg2,arg1,Person,,
gpe:residents_of_stateorprovince,9,living,Stateorprovince,arg2,arg1,Person,,
,,,,,,,,
,,,,,,,,
gpe:headquarters_in_city,9,was situated,at,arg2,arg1,Organization,,
,,,,,,,,
gpe:headquarters_in_city,9,was situated,in,arg2,arg1,Organization,,
,,,,,,,,
gpe:headquarters_in_city,9,was located,in,arg2,arg1,Organization,,
gpe:headquarters_in_city,9,was located,,arg2,arg1,Organization,,
gpe:headquarters_in_city,9,was headquartered,in,arg2,arg1,Organization,,
gpe:headquarters_in_city,9,was based,in,arg2,arg1,Organization,,
gpe:headquarters_in_city,9,was based,,arg2,arg1,Organization,,
gpe:headquarters_in_city,9,was,,arg1,arg2,Organization,,home
gpe:headquarters_in_city,9,situate,at,arg2,arg1,Organization,,
gpe:headquarters_in_city,9,situate,in,arg2,arg1,Organization,,
gpe:headquarters_in_city,9,organization in,,arg2,arg1,Organization,,
gpe:headquarters_in_city,9,operating,out of,arg2,arg1,Organization,,
gpe:headquarters_in_city,9,operates,out of,arg2,arg1,Organization,,
,,,,,,,,
gpe:headquarters_in_city,9,operated,out of,arg2,arg1,Organization,,
,,,,,,,,
gpe:headquarters_in_city,9,operate,out of,arg2,arg1,Organization,,
gpe:headquarters_in_city,9,located,in,arg2,arg1,Organization,,
gpe:headquarters_in_city,9,located,City,arg2,arg1,Organization,,
gpe:headquarters_in_city,9,is situated,at,arg2,arg1,Organization,,
,,,,,,,,
gpe:headquarters_in_city,9,is situated,in,arg2,arg1,Organization,,
,,,,,,,,
gpe:headquarters_in_city,9,is located,in,arg2,arg1,Organization,,
gpe:headquarters_in_city,9,is located,City,arg2,arg1,Organization,,
gpe:headquarters_in_city,9,is headquartered,in,arg2,arg1,Organization,,
gpe:headquarters_in_city,9,is based,in,arg2,arg1,Organization,,
gpe:headquarters_in_city,9,is based,City,arg2,arg1,Organization,,
,,,,,,,,
gpe:headquarters_in_city,9,is,,arg1,arg2,Organization,,home
gpe:headquarters_in_city,9,headquartered,at,arg2,arg1,Organization,,
gpe:headquarters_in_city,9,headquartered,in,arg2,arg1,Organization,,
gpe:headquarters_in_city,9,be,,arg1,arg2,Organization,,home
